orig_path,prep_path,class,Output,width,height,resize_mode
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (1).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (1).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (10).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (10).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (100).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (100).png,Anthracnose,1,480,627,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (101).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (101).png,Anthracnose,1,480,500,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (102).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (102).png,Anthracnose,1,480,566,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (103).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (103).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (104).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (104).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (105).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (105).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (106).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (106).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (107).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (107).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (108).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (108).png,Anthracnose,1,480,316,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (109).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (109).png,Anthracnose,1,480,617,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (11).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (11).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (110).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (110).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (111).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (111).png,Anthracnose,1,480,350,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (112).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (112).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (113).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (113).png,Anthracnose,1,480,473,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (114).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (114).png,Anthracnose,1,480,784,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (115).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (115).png,Anthracnose,1,480,841,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (116).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (116).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (117).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (117).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (118).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (118).png,Anthracnose,1,480,612,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (12).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (12).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (13).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (13).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (14).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (14).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (15).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (15).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (16).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (16).png,Anthracnose,1,480,360,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (17).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (17).png,Anthracnose,1,480,640,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (18).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (18).png,Anthracnose,1,480,658,width480
E:\Kuliah\Pengenalan Pola\final-project\data\Converted Images\Anthracnose\Anthracnose (19).jpg,E:\Kuliah\Pengenalan Pola\final-project\outputs\preprocessed_clahe\Anthracnose\Anthracnose (19).png,Anthracnose,1,480,360,width480
