orig_path,prep_path,class,Output,width,height,resize_mode,gaussian,gamma,equalization
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (1).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (1).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (10).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (10).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (100).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (100).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (101).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (101).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (102).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (102).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (103).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (103).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (104).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (104).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (105).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (105).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (106).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (106).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (107).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (107).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (108).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (108).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (109).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (109).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (11).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (11).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (110).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (110).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (111).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (111).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\data\Converted Images\Anthracnose\Anthracnose (112).jpg,E:\Kuliah\Pengenalan Pola\addressing_agricultural_challenges\outputs\preprocessed_index\Anthracnose\Anthracnose (112).jpg,Anthracnose,1,300,300,fixed300_bilinear,"(5, 5)_sigma0",1.2,hist_eq
