feature,score,p_value
ENT,60.289525292740805,2.8082139414997014e-14
CNT,53.41861225286822,7.162000909447321e-13
SM,32.48820924066774,1.7475811300500045e-08
CRL,30.512812247929517,4.631888008975754e-08
STD,19.67760977016601,1.0596129401912403e-05
VAR,15.13683403931562,0.00010923453289136837
KTS,13.13926601570005,0.000309478188429446
EG,8.393977191461847,0.0038786166328629848
MN,1.9462595241861556,0.16341947989140698
SKEN,1.4822286071336532,0.22382391901303944
RMS,0.4028859107857063,0.5258036812592202
IDM,0.0011038875105338125,0.9735045020683031
HGN,0.0011038875052956617,0.9735045021308087
