method,k,features,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,confusion_matrix
ANOVA,5,"VAR,STD,CNT,CRL,ENT",KNN,0.9103448275862069,0.8725055432372506,0.8163841807909604,0.8403759844186638,0.9065983637892806,0.9103448275862069,0.9067006170045641,"[[18, 9], [4, 114]]"
ANOVA,6,"VAR,STD,CNT,CRL,ENT,KTS",KNN,0.903448275862069,0.8644393241167434,0.7978656622724419,0.825241046831956,0.8989035436198951,0.903448275862069,0.8986107153035052,"[[17, 10], [4, 114]]"
ANOVA,7,"VAR,STD,CNT,CRL,ENT,KTS,RMS",KNN,0.9310344827586207,0.895,0.871939736346516,0.8828377504848093,0.9295172413793104,0.9310344827586207,0.9299979938925174,"[[21, 6], [4, 114]]"
ANOVA,8,"VAR,STD,CNT,CRL,ENT,KTS,RMS,SM",KNN,0.9379310344827586,0.912706611570248,0.8761770244821092,0.8929362539995077,0.9363707609005415,0.9379310344827586,0.9364950308503145,"[[21, 6], [3, 115]]"
ANOVA,9,"VAR,STD,CNT,CRL,ENT,KTS,RMS,SM,MN",KNN,0.9310344827586207,0.8862209667294413,0.8862209667294413,0.8862209667294413,0.9310344827586207,0.9310344827586207,0.9310344827586207,"[[22, 5], [5, 113]]"
ANOVA,10,"VAR,STD,CNT,CRL,ENT,KTS,RMS,SM,MN,HGN",KNN,0.9517241379310345,0.9157509157509157,0.9274952919020716,0.9214700193423597,0.952532524946318,0.9517241379310345,0.9520602948042418,"[[24, 3], [4, 114]]"
LASSO,5,"CNT,STD,CRL,IDM,HGN",KNN,0.9241379310344827,0.8714896214896215,0.8819836785938481,0.8765957446808511,0.9253210391141425,0.9241379310344827,0.9246661775495231,"[[22, 5], [6, 112]]"
LASSO,6,"CNT,STD,CRL,IDM,HGN,SKEN",KNN,0.9379310344827586,0.8869565217391304,0.9190207156308852,0.9017393268579172,0.9415292353823088,0.9379310344827586,0.9391648426972419,"[[24, 3], [6, 112]]"
LASSO,7,"CNT,STD,CRL,IDM,HGN,SKEN,ENT",KNN,0.9448275862068966,0.9008620689655172,0.9232580037664784,0.9114774114774115,0.9468489892984543,0.9448275862068966,0.945577028335649,"[[24, 3], [5, 113]]"
LASSO,8,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN",AdaBoost,0.9448275862068966,0.9682539682539683,0.8518518518518519,0.8966500356379188,0.9483305966064587,0.9448275862068966,0.9409344508073831,"[[19, 8], [0, 118]]"
LASSO,9,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG",AdaBoost,0.9448275862068966,0.9682539682539683,0.8518518518518519,0.8966500356379188,0.9483305966064587,0.9448275862068966,0.9409344508073831,"[[19, 8], [0, 118]]"
LASSO,10,"CNT,STD,CRL,IDM,HGN,SKEN,ENT,MN,EG,VAR",AdaBoost,0.9448275862068966,0.9682539682539683,0.8518518518518519,0.8966500356379188,0.9483305966064587,0.9448275862068966,0.9409344508073831,"[[19, 8], [0, 118]]"
